"u","ids","object_id","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.5636e-26,65,0,1,0,5,0,0
1.1956e-13,65,0,1,0.01,5,0.01,0
2.3912e-13,65,0,1,0.02,5,0.02,0
3.5869e-13,65,0,1,0.03,5,0.03,0
4.7825e-13,65,0,1,0.04,5,0.04,0
5.9781e-13,65,0,1,0.05,5,0.05,0
7.1737e-13,65,0,1,0.06,5,0.06,0
8.3694e-13,65,0,1,0.07,5,0.07,0
9.4832e-13,193,0,1,0.08,5,0.08,0
1.0243e-12,193,0,1,0.09,5,0.09,0
1.1002e-12,193,0,1,0.1,5,0.1,0
1.1762e-12,193,0,1,0.11,5,0.11,0
1.2521e-12,193,0,1,0.12,5,0.12,0
1.3281e-12,193,0,1,0.13,5,0.13,0
1.404e-12,193,0,1,0.14,5,0.14,0
1.48e-12,193,0,1,0.15,5,0.15,0
1.5998e-12,321,0,1,0.16,5,0.16,0
1.7927e-12,321,0,1,0.17,5,0.17,0
1.9856e-12,321,0,1,0.18,5,0.18,0
2.1786e-12,321,0,1,0.19,5,0.19,0
2.3715e-12,321,0,1,0.2,5,0.2,0
2.5645e-12,321,0,1,0.21,5,0.21,0
2.7574e-12,321,0,1,0.22,5,0.22,0
2.9503e-12,321,0,1,0.23,5,0.23,0
3.2011e-12,449,0,1,0.24,5,0.24,0
3.4967e-12,449,0,1,0.25,5,0.25,0
3.7924e-12,449,0,1,0.26,5,0.26,0
4.088e-12,449,0,1,0.27,5,0.27,0
4.3837e-12,449,0,1,0.28,5,0.28,0
4.6793e-12,449,0,1,0.29,5,0.29,0
4.975e-12,449,0,1,0.3,5,0.3,0
5.2707e-12,449,0,1,0.31,5,0.31,0
5.7367e-12,577,0,1,0.32,5,0.32,0
6.2595e-12,577,0,1,0.33,5,0.33,0
6.7824e-12,577,0,1,0.34,5,0.34,0
7.3052e-12,577,0,1,0.35,5,0.35,0
7.8281e-12,577,0,1,0.36,5,0.36,0
8.3509e-12,577,0,1,0.37,5,0.37,0
8.8737e-12,577,0,1,0.38,5,0.38,0
9.3966e-12,577,0,1,0.39,5,0.39,0
1.0277e-11,705,0,1,0.4,5,0.4,0
1.118e-11,705,0,1,0.41,5,0.41,0
1.2084e-11,705,0,1,0.42,5,0.42,0
1.2988e-11,705,0,1,0.43,5,0.43,0
1.3891e-11,705,0,1,0.44,5,0.44,0
1.4795e-11,705,0,1,0.45,5,0.45,0
1.5699e-11,705,0,1,0.46,5,0.46,0
1.6685e-11,833,0,1,0.47,5,0.47,0
1.8246e-11,833,0,1,0.48,5,0.48,0
1.9806e-11,833,0,1,0.49,5,0.49,0
2.1367e-11,833,0,1,0.5,5,0.5,0
2.2928e-11,833,0,1,0.51,5,0.51,0
2.4489e-11,833,0,1,0.52,5,0.52,0
2.6049e-11,833,0,1,0.53,5,0.53,0
2.761e-11,833,0,1,0.54,5,0.54,0
2.952e-11,961,0,1,0.55,5,0.55,0
3.2197e-11,961,0,1,0.56,5,0.56,0
3.4875e-11,961,0,1,0.57,5,0.57,0
3.7553e-11,961,0,1,0.58,5,0.58,0
4.023e-11,961,0,1,0.59,5,0.59,0
4.2908e-11,961,0,1,0.6,5,0.6,0
4.5585e-11,961,0,1,0.61,5,0.61,0
4.8263e-11,961,0,1,0.62,5,0.62,0
5.188e-11,1089,0,1,0.63,5,0.63,0
5.6439e-11,1089,0,1,0.64,5,0.64,0
6.0997e-11,1089,0,1,0.65,5,0.65,0
6.5555e-11,1089,0,1,0.66,5,0.66,0
7.0113e-11,1089,0,1,0.67,5,0.67,0
7.4671e-11,1089,0,1,0.68,5,0.68,0
7.9229e-11,1089,0,1,0.69,5,0.69,0
8.3787e-11,1089,0,1,0.7,5,0.7,0
9.0511e-11,1217,0,1,0.71,5,0.71,0
9.8221e-11,1217,0,1,0.72,5,0.72,0
1.0593e-10,1217,0,1,0.73,5,0.73,0
1.1364e-10,1217,0,1,0.74,5,0.74,0
1.2135e-10,1217,0,1,0.75,5,0.75,0
1.2906e-10,1217,0,1,0.76,5,0.76,0
1.3677e-10,1217,0,1,0.77,5,0.77,0
1.4448e-10,1217,0,1,0.78,5,0.78,0
1.5677e-10,1345,0,1,0.79,5,0.79,0
1.6972e-10,1345,0,1,0.8,5,0.8,0
1.8267e-10,1345,0,1,0.81,5,0.81,0
1.9563e-10,1345,0,1,0.82,5,0.82,0
2.0858e-10,1345,0,1,0.83,5,0.83,0
2.2153e-10,1345,0,1,0.84,5,0.84,0
2.3448e-10,1345,0,1,0.85,5,0.85,0
2.4797e-10,1473,0,1,0.86,5,0.86,0
2.6959e-10,1473,0,1,0.87,5,0.87,0
2.912e-10,1473,0,1,0.88,5,0.88,0
3.1282e-10,1473,0,1,0.89,5,0.89,0
3.3443e-10,1473,0,1,0.9,5,0.9,0
3.5605e-10,1473,0,1,0.91,5,0.91,0
3.7766e-10,1473,0,1,0.92,5,0.92,0
3.9928e-10,1473,0,1,0.93,5,0.93,0
4.2445e-10,1601,0,1,0.94,5,0.94,0
4.6029e-10,1601,0,1,0.95,5,0.95,0
4.9613e-10,1601,0,1,0.96,5,0.96,0
5.3197e-10,1601,0,1,0.97,5,0.97,0
5.678e-10,1601,0,1,0.98,5,0.98,0
6.0364e-10,1601,0,1,0.99,5,0.99,0
6.3948e-10,1601,0,1,1,5,1,0
6.7532e-10,1601,0,1,1.01,5,1.01,0
7.2131e-10,1729,0,1,1.02,5,1.02,0
7.8034e-10,1729,0,1,1.03,5,1.03,0
8.3937e-10,1729,0,1,1.04,5,1.04,0
8.984e-10,1729,0,1,1.05,5,1.05,0
9.5743e-10,1729,0,1,1.06,5,1.06,0
1.0165e-09,1729,0,1,1.07,5,1.07,0
1.0755e-09,1729,0,1,1.08,5,1.08,0
1.1345e-09,1729,0,1,1.09,5,1.09,0
1.217e-09,1857,0,1,1.1,5,1.1,0
1.3136e-09,1857,0,1,1.11,5,1.11,0
1.4102e-09,1857,0,1,1.12,5,1.12,0
1.5068e-09,1857,0,1,1.13,5,1.13,0
1.6034e-09,1857,0,1,1.14,5,1.14,0
1.7e-09,1857,0,1,1.15,5,1.15,0
1.7966e-09,1857,0,1,1.16,5,1.16,0
1.8932e-09,1856,0,1,1.17,5,1.17,0
2.0389e-09,1984,0,1,1.18,5,1.18,0
2.196e-09,1984,0,1,1.19,5,1.19,0
