"u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,5,0,0
-1.8741e-09,1,0.078125,5,0.078125,0
-1.9808e-11,1,0.15625,5,0.15625,0
8.3557e-10,1,0.23438,5,0.23438,0
-1.7122e-12,1,0.3125,5,0.3125,0
-4.997e-12,1,0.39062,5,0.39062,0
-3.3677e-09,1,0.46875,5,0.46875,0
-1.8179e-09,1,0.54688,5,0.54688,0
-1.5704e-09,1,0.625,5,0.625,0
3.118e-09,1,0.70312,5,0.70312,0
4.8433e-09,1,0.78125,5,0.78125,0
2.7932e-09,1,0.85938,5,0.85938,0
-3.7829e-09,1,0.9375,5,0.9375,0
-7.1874e-09,1,1.0156,5,1.0156,0
-1.1887e-09,1,1.0938,5,1.0938,0
1.1555e-09,1,1.1719,5,1.1719,0
3.2869e-09,1,1.25,5,1.25,0
1.5393e-08,1,1.3281,5,1.3281,0
2.4232e-08,1,1.4062,5,1.4062,0
2.0584e-08,1,1.4844,5,1.4844,0
4.9501e-09,1,1.5625,5,1.5625,0
-6.4395e-09,1,1.6406,5,1.6406,0
1.4956e-08,1,1.7188,5,1.7188,0
8.3815e-08,1,1.7969,5,1.7969,0
1.8184e-07,1,1.875,5,1.875,0
2.6155e-07,1,1.9531,5,1.9531,0
3.3359e-07,1,2.0312,5,2.0312,0
4.2139e-07,1,2.1094,5,2.1094,0
5.8086e-07,1,2.1875,5,2.1875,0
1.0265e-06,1,2.2656,5,2.2656,0
1.7047e-06,1,2.3438,5,2.3438,0
2.8324e-06,1,2.4219,5,2.4219,0
4.2426e-06,1,2.5,5,2.5,0
5.7483e-06,1,2.5781,5,2.5781,0
8.0922e-06,1,2.6562,5,2.6562,0
1.1707e-05,1,2.7344,5,2.7344,0
1.7334e-05,1,2.8125,5,2.8125,0
2.414e-05,1,2.8906,5,2.8906,0
3.4885e-05,1,2.9688,5,2.9688,0
5.0334e-05,1,3.0469,5,3.0469,0
6.9848e-05,1,3.125,5,3.125,0
9.7071e-05,1,3.2031,5,3.2031,0
0.00013608,1,3.2812,5,3.2812,0
